ISBN13,review
9791134854133,"요즘 영화까지 개봉하는 바람에ㅎㅎ 원래도 유명했던 작품이었지만 그 덕에 아주 핫하게 인기를 끌고 있는 작품 귀멸의 칼날16권입니다
0권인가 사은품 준다고 줄서가며 그거 한권 받겠다고 다들 힘드셨을거라 짐작합니다ㅎ 저도 구하지 못해서 마음이 쓰립니다 으으
23권으로 완결되어서 참 다행이라고 생각해요 첫권부터 다시 정주행 시작합니다ㅡ재미있는 작품 추천해봐요"
9791134854133,"언제 다 보나 싶었는데 어느새 16권까지... 탄지로가 주 훈련을 받는 내용이 큰 줄기인데, 그래서 그런지 약간 긴장감은 떨어졌지만 그래도 소소한 재미는 있었다. 완결권까지 애니화가 진행되려면 아직 한참 더 기다려야겠지만, 16권 내용이 어떻게 애니메이션으로 탄생할지 궁금하기도 하다. 귀멸의 칼날에서 제일 좋아하는 캐릭터가 쿄쥬로랑 아카자인데, 쿄쥬로는 이제 볼 수 없으니 아카자라도 보고 싶은데 언제 나올는지... 다음권에서 볼 수 있길 기대하며 17권으로 넘어가야겠다."
9791134854133,"귀멸의 칼날 16권입니다ㅡ요즘 영화까지 개봉하는 바람에ㅎㅎ 원래도 유명했던 작품이었지만 그 덕에 아주 핫하게 인기를 끌고 있는 작품 귀멸의 칼날입니다
0권인가 사은품 준다고 줄서가며 그거 한권 받겠다고 다들 힘드셨을거라 짐작합니다ㅎ 저도 구하지 못해서 마음이 쓰립니다 으으
23권으로 완결되어서 참 다행이라고 생각해요 첫권부터 다시 정주행 시작합니다ㅡ재미있는 작품 추천해봐요"
9791134854133,"주 훈련을 받으러 암주 히메지마를 찾아간 탄지로
혹독한 훈련을 하네요
폭포수를 맞는 훈련 통나무훈련 바위를 움직이는 혹독한 수련을 거쳐 탄지로는 암주의 훈련을 무사히받는다
무잔은 네즈코와 우부야시키의 행방을 찾네요
다음편이 기대됩니다

배송도 빨리오고 다음편바로 구매해야겠어요

--------------------------------------------------------------"
9791134854133,귀멸의 칼날 16권입니다. 주 훈련을 받으러 암주 히메지마를 찾아간 탄지로가 폭포수를 맞고 통나무를 짊어지고 바위를 움직이며 혹독한 수련을 거치는 모습을 보니 이번 권도 도깨비와 혈전만 치르지 않는다인 거지 주인공 굴리기는 여전하다는 걸 깨닫게 해주는 군요. 물론 상현 도깨비를 상대 하기 위해선 수련을 멈출 수 없는 입장이긴 합니다. 성장에 성장을 거듭하는 탄지로가 얼마나 더 강해질 수 있을지 기대돼요~
9791134821791,"요즘 영화까지 개봉하는 바람에ㅎㅎ 원래도 유명했던 작품이었지만 그 덕에 아주 핫하게 인기를 끌고 있는 작품 귀멸의 칼날10권입니다
0권인가 사은품 준다고 줄서가며 그거 한권 받겠다고 다들 힘드셨을거라 짐작합니다ㅎ 저도 구하지 못해서 마음이 쓰립니다 으으
23권으로 완결되어서 참 다행이라고 생각해요 첫권부터 다시 정주행 시작합니다ㅡ재미있는 작품 추천해봐요"
9791134821791,"유곽 하나마치를 지배하고 있던 오이란 도깨비 다키!
힘을 분산시켜 놨던 오비(허리끈)와 한 몸이 되며 더욱 커진 힘으로, 다키는 탄지로를 공격한다!!
탄지로는 히노카미 카구라로 응전하지만 한계를 뛰어넘어?!
탄지로 대신 네즈코와 우즈이가 대치하는데, 상현 도깨비인 다키와의 싸움은 뜻밖의 전개를 보이고?!………

유곽 하나마치를 지배하고 있던 오이란 도깨비 다키!
힘을 분산시켜 놨던 오비(허리끈)와 한 몸이 되며 더욱 커진 힘으로, 다키는 탄지로를 공격한다!!
탄지로는 히노카미 카구라로 응전하지만 한계를 뛰어넘어?!
탄지로 대신 네즈코와 우즈이가 대치하는데, 상현 도깨비인 다키와의 싸움은 뜻밖의 전개를 보이고?!"
9791134821791,귀멸의 칼날 10권 리뷰입니다. 이번 권에서는 유곽을 지배하고 있는 상현 도깨비 다키가 분산해 두었던 힘인 오비와 한 몸이 되면서 탄지로를 더욱 강하게 몰아세우는데 절로 긴장감이 느껴지더라고요. 전권에 나왔던 유곽 내용이 계속 전개되는데 다키라는 인물이 되게 매력적이고 상황이 역전되는 전개가 재미있었습니다. 주인공 캐릭터들 탄지로와 젠이츠와 이노스케 세 명 모두 가지각색의 매력을 가지고 있는 캐릭터라서 흥미진진하게 보게 되는 것 같습니다. 귀멸의 칼날은 생과 사의 경계에서 온 힘을 다해 싸우는 주인공의 모습을 그려내고 있는 상당히 독특하면서도 재미있는 만화입니다. 매권 빠른 전개로 지루할 틈을 주지 않는 만화에요. 인물들이 많이 등장하는데도 그렇게 복잡하지 않고 호흡이 되게 빨리 진행됩니다. 외전 격으로 이노스케의 과거가 나오는데 너무 재미있었습니다.
9791134821791,"한창 인기몰이를 하고 있는 귀멸의 칼날입니다.
  당연히 애니메이션의 인기가 큰 도움이 되었지만 일반적인 클리세를 넘어서는
  그리고 감동과 발전이 있는 소년성장만화의 틀을 유지하면서도 아주 흥미진진하게
  스토리를 진행하고 있으며 작가의 첫 장편데뷔작임에도 불구하고 정말 재미있는
  만화를 만들어내고 있습니다.
  처음에는 이만화가 그렇게 인기가 있나 그렇게 재미있나 싶은데 각 캐릭터 별로 참
  매력도 있으며 악역임에도 악역나름대로의 매력과 보는 재미가 있는 작품이네요
  꼭 한번 보시길 추천드리며 애니메이션 먼저 접한 후 이후 내용을 책으로 보셔도 좋을
  듯 합니다."
9791134821791,"상현 도깨비 다키의 오비창고를 풍비박산내고 사라진 사람들을 무사히 구출한 텐겐, 젠이츠, 이노스케, 그리고 텐겐의 부인들! 그들은 이제 다키와 피 터지게 싸우고 있는 탄지로와 합류하기 위해 달려간다. 오비와 합체한 다키는 더 강력해지는데 다키의 무자비함에 폭발한 탄지로가 각성한다! 그리고 네즈코도 분노로 각성하는데, 아무리봐도 세계관 최강은 네즈코가 아닐까!"
9791134841324,"1권 이미지 삽화가 좀 ㅋㅋ이상하긴하지만 갈수록 이미지나 그림체가 조금씩 바껴가네요 ㅋㅋㅋ 자기매김하고 있는게 보여요
우연치않게 재밌다고 소문들어서 애니보다가
재밌길래 만화책 사봤네요
도깨비 오니들한테 가족들을 잃고 오니로 변모한 여동생을 다시 인간으로 되돌리는 방안을 찾기위해 모험을 떠나는 남주의 성장과 모험 그리고 다양한 오니를 처치하면서 만나게 되는 그의 친구들 ㅎ 만나볼수있는데 각각 성격들도 특이하고 재미가 있어 몰입감이 좋네요
다음화가 기대됩니다 ㅋ
----------"
9791134841324,"귀멸의 칼날 1권입니다ㅡ요즘 영화까지 개봉하는 바람에ㅎㅎ 원래도 유명했던 작품이었지만 그 덕에 아주 핫하게 인기를 끌고 있는 작품 귀멸의 칼날입니다
0권인가 사은품 준다고 줄서가며 그거 한권 받겠다고 다들 힘드셨을거라 짐작합니다ㅎ 저도 구하지 못해서 마음이 쓰립니다 으으
23권으로 완결되어서 참 다행이라고 생각해요 첫권부터 다시 정주행 시작합니다ㅡ재미있는 작품 추천해봐요 꼭보세요"
9791134841324,"전설의 시작인 귀멸의 칼날 1권입니다.
다른 만화와 달리 질질 끄는 맛도 없고, 전개도 시원시원하여 보는 맛이 있습니다.
전개를 위해 불쌍하게 가족을 잃고 세상에 하나씩 남은 탄지로 네즈코 남매의 모습이 안타깝기도 합니다.
수주인 기유와 스승 사콘지의 도움으로 실력을 갈고 닦고, 귀멸대 시험을 통과하여 잠든 네즈코를 구하고, 다른 사람들을 구해줄 수 있을 지 기대됩니다.
 "
9791134841324,"귀멸의 칼날 1권.
애니메이션으로 잼있게 봐서 구입하게 된 만화지만,
그럼에도 코믹스는 애니만큼의 재미를 따라가지 못한다고 생각하는데..
그래도 나름 재미있게 보고 있는 만화입니다.
이야기는 생각보다 속전속결, 그래서 상당히 빠르게 끝나버린 감도 없진 않습니다.
23권으로 끝나버려서 그게 좀 아쉽기는 한데 적당하게 끝난 것 같기도 합니다."
9791134841324,귀멸의 칼날 1권 입니다. 귀멸 엄청 유명하다고 들었지만 그다지 흥미가 없어 본적이 없었던 작품입니다. 그러다가 극장판보고 생각외로 너무 재미있어서 애니 정주행하고 원작으로 넘어왔습니다. 우리의 염주님 생각하면 아직도 마음이 아프네요...ㅠㅠ한권씩 모으고 있으며 아직 전권 모으지 못해서 뜯지는 않았지만 전권 다모으고 정주행하는 그날을 손꼽아 기다리는 중입니다. 애니와 극장판만큼 화려하지는 않겠지만 다들 울면서본다는 소리를 들었기에 기대만발입니다. 무잔에 위해 가족을잃고 혈귀가된 네즈코를 구하기위해 귀살대가된 탄지로의 이야기 입니다~
