isbn13,name
9772384289005,작가 정보가 없습니다.
9772384367000,작가 정보가 없습니다.
9772508333003,작가 정보가 없습니다.
9772733807003,1983년 전남 순천에서 태어났다. 2014년 [현대문학] 신인추천에 단편소설 『그 개와 같은 말』이 당선되어 등단했다. 단편소설 『고두(叩頭)』로 제8회 문학동네 젊은작가상 대상을 받았다. 소설집 『그 개와 같은 말』 중편소설 『당신과 다른 나』가 있다.
9788901166223,"1817년 매사추세츠 주 콩코드에서 태어났다. 자신을 ‘신비주의자, 초절주의자, 자연철학자’로 묘사한 소로는 극단적인 개인주의와 단순하고 금욕적인 삶에 대한 선호, 사회와 정부에 대한 개인의 저항 정신으로 잘 알려져 있다. 소로는 하버드 대학을 졸업하고 형과 함께 사립학교를 열어 잠시 교사 생활을 한 뒤 목수, 석공, 조경, 토지측량, 강연에 이르기까지 시간제로 여러 가지 일을 하면서 대부분의 시간을 산책하고 독서하고 글 쓰는 데 할애하며 보냈다. 그리고 저명한 문필가이자 사상가 랄프 왈도 에머슨(Ralph Waldo Emerson) 집에서 머무르며 가정 교사 생활도 하고 잡지에 글을 기고하기도 하면서 지냈다. 그러다가 1845년 3월부터 월든 호숫가에 오두막집을 짓기 시작하여, 같은 해 7월부터 1847년 9월까지 그곳에서 홀로 지냈다. '숲속의 생활'(Life in the Woods)이라는 제목으로도 불리는 『월든』(Walden)은 바로 월든 호숫가에서 보낸 2년의 삶을 소로우 자신이 기록한 책이다.

소로우가 명실상부한 자연주자라는 사실은 『월든』에서 더 없이 분명해진다. 단순히 호숫가 오두막에서의 생활을 기록해 놓은 것이 아니라, 자연과 깊이 교감하면서 생각하고 느끼고 깨달은 것들을 솔직하게 적고 있기 때문이다. 예를 들어 다음과 같은 글을 보면, 그가 호수 표면의 잔잔한 움직임에서 크나큰 아름다움과 감동을 느꼈음을 알 수 있다.

'물은 새로운 생명과 움직임을 끊임없이 공중에서 받아들이고 있다. 물은 그 본질상 땅과 하늘의 중간이다. 땅에서는 풀과 나무만이 나부끼지만, 물은 바람이 불면 몸소 잔물결을 일으킨다. 나는 미풍이 물 위를 스쳐 가는 곳을 빛줄기나 빛의 파편이 반짝이는 것을 보고 안다. 이처럼 우리가 수면을 내려다볼 수 있다는 것은 놀라운 일이 아닐 수 없다.' (『월든』 중에서)

부당한 시민 정부에 대한 합법적인 개인의 저항을 주장한 에세이 『시민 불복종』(1849)은 1846년 7월 멕시코 전쟁에 반대하여 인두세 납부를 거부하여 투옥을 당한 경험을 생생히 그리면서 노예 해방과 전쟁 반대의 신념을 밝힌 역작이다. 20세기 마하트마 간디의 인도 독립운동 및 마틴 루터 킹의 흑인 민권운동에 영감을 준 것으로 유명하다.

멕시코 전쟁과 노예제도에 반대하여 인두세(人頭稅) 납부를 거부했던 소로우는, 이 때문에 감옥에 수감되었다가 다음날 석방되기도 했다. 1859년에는 노예제도 폐지 운동가 존 브라운을 위해 의회에 탄원서를 제출하는 등 노예제 폐지 운동에 헌신하며 활발한 강연과 저술 활동을 펼쳤다. 그는 집필과 강연, 사회 참여를 이어 가던 중 폐결핵 진단을 받고 1861년 11월 3일 한평생 써 온 『일기』를 마지막으로 기록한 뒤 1862년 고향 콩코드에서 세상을 떠났다. 저서에 『콩코드 강과 메리맥 강에서 보낸 일주일』(1849), 『소풍』(1863), 『메인 숲』(1864) 등이 있다."
9788901215907,"전후 일본문학을 대표하는 탐미주의 작가다. 미시마 유키오는 1925년 도쿄에서 고위 공무원의 아들로 태어났다. 본명은 히라오카 기미다케平岡公威이다. 1944년 가쿠슈인 고등학교를 수석으로 졸업하고, 엘리트 관료 집안에 맞는 진로를 선택하라는 아버지의 권유로 도쿄대학 법학부에 입학한다. 1941년 「꽃이 한창인 숲」을 문예지에 발표하면서 ‘미시마 유키오’라는 필명을 쓰기 시작했다. 1944년 가쿠슈인 고등부를 수석으로 졸업한 뒤 도쿄 제국대학 법학부에 입학했다. 1947년 대학 졸업 후 대장성의 관료가 되었지만 이듬해 전업 작가가 되기 위해 퇴직했다. 열세 살 때부터 필명을 만들어 왕성한 창작활동을 했던 미시마가 문단에 정식으로 데뷔한 것은 1946년에 쓴 단편 「담배」가 가와바타 야스나리의 추천으로 『인간』지에 실리면서부터이다.

1949년 대학을 졸업한 미시마는 대장성 금융국에서 근무하지만 공무원 사회의 관료주의를 이기지 못한 채 일 년 만에 사표를 내고 전업작가의 길을 걷게 된다. 그 무렵에 쓴 장편 『가면의 고백』을 통해 일본 주요 작가의 반열에 올라서게 된다. 그는 화려한 문장과 미의식을 바탕으로 『사랑의 갈증』, 『푸른 시절』, 『금색』 등의 수작을 잇달아 발표했으며, 1957년 『금각사』가 요미우리 문학상을 수상하면서 문학의 절정기를 맞이한다. 『금각사』의 성공 이후 미시마 유키오는 수차례 노벨 문학상 후보에 오르며 국제적 작가로 자리매김했다. 1961년에는 2·26 쿠데타 사건을 소설화한 단편 「우국」을 발표했는데, 이는 자신의 종말을 예언한 작품이기도 하다.

1970년 그의 마지막 작품이며, 불후의 명작으로 꼽히는 4부작 장편소설 『풍요의 바다』 마지막 편을 출판사에 넘긴 미시마는 자신의 추종자를 데리고 1970년 11월 25일 일본 자위대 주둔지에 난입하여 자위대의 궐기를 촉구하는 연설을 한 후 대중 앞에서 할복하여 일본 국내는 물론 세계에 적지 않은 충격을 던지면서 45세의 생을 마감했다."
9788901248202,"경기도 개풍(현 황해북도 개풍군) 출생으로, 세살 때 아버지를 여의고 서울로 이주했다. 1944년 숙명여자고등학교에 입학한 뒤 교사였던 소설가 박노갑에게 영향을 받았으며, 작가 한말숙과 동창이다. 1950년 서울대학 국문과에 입학했으나 전쟁으로 중퇴하게 되었다. 개성에서 어린 시절을 보내고 서울에서 학창시절을 보낸 박완서에게 한국전쟁은 평생 잊을 수 없을 없는 기억이다. 의용군으로 나갔다가 부상을 입고 거의 폐인이 되어 돌아온 `똑똑했던` 오빠가 `이제는 배부른 돼지로 살겠다`던 다짐을 뒤로 하고 여덟 달 만에 죽음을 맞이하고, 그후 그의 가족은 남의 물건에까지 손을 대게 되는 등 심각한 가난을 겪는다.

그후 미8군의 PX 초상화부에 취직하여 일하다가 그곳에서 박수근 화백을 알게 된다. 1953년 직장에서 만난 호영진과 결혼하고 살림에 묻혀 지내다가 훗날 1970년 불혹의 나이가 되던 해에 [여성동아] 여류 장편소설 공모에 『나목(裸木)』이 당선되어 등단했다. 그 이후 우리의 일상을 세심하게 관찰하여 그 이면에 숨겨진 진실까지 뼈아프게 드러내는 소설들을 발표하며 한국 문학의 한 획을 긋고 있다. 박완서는 평범하고 일상적인 소재에 적절한 서사적 리듬과 입체적인 의미를 부여함으로써 다채로우면서도 품격 높은 문학적 결정체를 탄생시켰다는 평을 받고 있다. 작가는 우리 문학사에서 그 유례가 없을 만큼 풍요로운 언어의 보고를 쌓아올리는 원동력이 되어왔다. 그녀는 능란한 이야기꾼이자 뛰어난 풍속화가로서 시대의 거울 역할을 충실히 해왔을 뿐 아니라 삶의 비의를 향해 진지하게 접근하는 구도자의 길을 꾸준히 걸어왔다.

한국 전쟁과 분단의 아픔을 다룬 데뷔작 『나목』과 『목마른 계절』, 『세상에서 제일 무거운 틀니』, 『아저씨의 훈장』, 『겨울 나들이』, 『그해 겨울은 따뜻했네』 등을 비롯하여 70년대 당시의 사회적 풍경을 그린 『도둑맞은 가난』, 『도시의 흉년』, 『휘청거리는 오후』까지 저자는 사회적 아픔에 주목하여 글을 썼다. 『살아있는 날의 시작』부터 여성문제에 관심을 가지기 시작한 작가는 행복한 결혼은 어떤 형태인가를 되묻게 하는 소설인 『서 있는 여자』, 『그대 아직도 꿈꾸고 있는가』, 등 점점 독특한 시각으로 여성문제를 조명하기 시작한다. 또 장편 『미망』, 『그 많던 싱아를 누가 다 먹었을까』, 『그 산이 정말 거기 있었을까』 등에서는 개인사와 가족사를 치밀하게 조명하여 사회를 재조명하기도 한다.

『배반의 여름』은 1975년 9월에서 1978년 9월까지 발표했던 작품들을 수록하고 있다. 「조그만 체험기」, 「흑과부黑寡婦」, 「그 살벌했던 날의 할미꽃」등에서 볼 수 있듯이 박완서가 그리는 모성의 힘은 실로 놀랍다. 성균관대에서 열린 ‘2006 호암상 수상자(예술상) 초청 강연회’에서 박완서는 이렇게 말했다. “내 문학의 뿌리는 어머니”라고. 박완서 특유의 수다스러움으로 풀어내는 모성의 힘은 힘센 것들만이 권력을 쥐고 판을 치는 현대산업사회에서 뒤로 처진 자들의 아픔을 진정으로 위무해준다.

『나의 가장 나종 지니인 것』에는 1987년 1월에서 1994년 4월까지 발표되었던 작품들이 수록되어 있다. 여기에서는 가족의 죽음을 다루고 있는 작품이 네 개나 있는데 그중「여덟 개의 모자로 남은 당신」은 남편의 죽음을, 「나의 가장 나종 지니인 것」은 아들의 죽음을 담고 있다. 「나의 가장 나종 지니인 것」은 특이하게도 처음부터 끝까지 대화체로 되어 있는데 담담하게 이어가는 주인공의 목소리에서 가슴이 메어지는 슬픔을 느낄 수 있다.

『저녁의 해후』에는 1984년 1월부터 1986년 8월까지 발표했던 작품들이 수록되어 있다. 「지 알고 내 알고 하늘이 알건만, 「해산바가지」, 「애 보기가 쉽다고?」 등에서 볼 수 있듯이 여기에서 나타나는 하층민들의 인간애는 가진 자들의 야만성과 대비되어 더욱 빛을 발한다.

『그의 외롭고 쓸쓸한 밤』은 1979년 3월에서부터 1983년 8월까지 발표한 작품들을 수록했다. 이 책에서는 특히 속물성과 위선이 난무하는 현실에 대한 비판이 두드러진다. 젊은 것들의 무관심과 조롱 속에서 외롭게 늙어가는 노인들의 모습을 담아낸 「황혼」, 「천변풍경泉邊風景」과, 출세한 자들의 허위를 그린 「내가 놓친 화합(和合)」, 「그의 외롭고 쓸쓸한 밤」 등이 그것이다.

『미망』은 조선조 말기에서 6ㆍ25 전쟁 직후까지 그 파란만장했던 시대를 한 개성 상인의 가족사를 통하여 재창조한 대하소설이다. 민족의 수난사와 더불어 고난과 격동의 시대를 험준한 산을 넘듯 숨가쁘게 살아온 우리 모두의 이야기로, 박완서 소설 문체가 도달한 궁극적인 경지를 보여 주고 있다.

“아직도 글을 쓸 수 있는 기력이 있어서 행복하다.”는 작가는 사람과 자연을 한없이 따뜻한 시선으로 바라보며 느낀 기쁨과 경탄, 감사와 애정을 담아 산문집 『못 가본 길이 더 아름답다』를 펴냈다. 「친절한 책읽기」라는 제목으로 신문에 연재했던 글도 함께 실어 노작가의 연륜과 성찰이 돋보이는 글을 선보였다. 1993년부터 국제연합아동기금 친선대사로 활동하며, 1994년부터 공연윤리위원회 위원, 1988년부터 제2건국 범국민추진위원회 위원으로 활동한 바 있다. 『그 가을의 사흘 동안』으로 한국문학작가상, 『엄마의 말뚝』으로 제5회 이상문학상, 『미망』으로 대한민국문학과 제3회 이상문학상, 『꿈꾸는 인큐베이터』로 제38회 현대문학상 등을 받았다. 2006년, 문화예술인으로서 처음이자 여성으로서도 처음으로 서울대학교 명예문학박사학위를 받았다.

평소 입버릇처럼 ""전쟁의 상처로 작가가 됐다.""고 고백해왔던 그녀는 전쟁의 아픔을 온몸으로 겪은 경험으로 글을 써왔다. 여러 편의 장편소설과 수필집, 동화집을 발표하고, 2010년 8월 수필집 『못 가본 길이 더 아름답다』를 마지막으로 2011년 1월 22일, 담낭암 투병 중 별세했다. 경기 구리시에는 '박완서 문학마을'이 조성될 예정이다.

한국문학작가상, 이상문학상, 대한민국문학상, 이상문학상, 현대문학상, 동인문학상, 한무숙문학상, 대산문학상 만해문학상, 황순원문학상, 호암예술상 등을 수상했고, 2006년 서울대학교에서 명예문학박사 학위를 받았다. 타계 이후 문학적 업적을 기려 금관문화훈장이 추서되었다.

그 외 작품으로는 장편소설 『아주 오래된 농담』 『그 남자네 집』, 소설집 『부끄러움을 가르칩니다』, 『저문 날의 삽화』, 『너무도 쓸쓸한 당신』, 『친절한 복희씨』,『기나긴 하루』, 산문집 『꼴찌에게 보내는 갈채』, 『한 길 사람 속』, 『못 가본 길이 더 아름답다』등이 있다."
9788901252278,"서울대학교에서 산업 디자인을 공부한 뒤, 오랫동안 그림책을 만들어 왔다. 어린 시절 자신의 모습처럼 수줍고 소심한 아이들을 위로하고 응원하는 그림책, 한 아이의 엄마로 살아온 경험을 바탕으로 엄마들 마음에 공감하는 그림책을 꾸준히 선보이고 있다. 주로 아크릴, 구아슈 같은 서양화 재료로 그림을 그리다가, 몇 해 전 민화를 만난 뒤부터 동양화 재료로 우리 꽃과 나무를 그리는 즐거움에 푹 빠졌다.

그동안 쓰고 그린 그림책으로 『너를 보면』, 『나랑 친구 할래?』, 『행복한 ㄱㄴㄷ』, 『엄마의 말』, 『너는 어떤 씨앗이니?』, 『곤지곤지 잼잼』, 『모르는 척 공주』, 『내가 정말?』, 『엄마가 화났다』, 『너는 기적이야』, 『나도 나도』, 『하늘 아이 땅 아이』, 『괜찮아』, 『누구 그림자일까?』 들이 있다. 여러 그림책이 해외에 판권 수출되었으며, 볼로냐 아동 도서전 올해의 일러스트레이터, 스웨덴 국제 도서관 올해의 작가로 선정되기도 했다."
9788908060197,작가 정보가 없습니다.
9788917230505,"ETS는 평가시험 부문에서 국제적으로 공신력을 인정받는 비영리기관으로서, 교육의 형평성과 질을 향상시키는 데 이바지하고 있습니다. TOEFL 뿐만 아니라, TOEIC, GRE, 미국교사자격시험 등 각종 시험을 개발하고 있으며, 해마다 전세계 180여 개국의 9,000여 곳에서 5,000만 명 이상이 ETS 시험에 응시하고 있습니다. ETS는 평가시험을 주관하는 일뿐만 아니라 교육과 관련된 연구, 분석, 정책 연구를 수행하고, 교원 양성, 영어 학습, 초중등 교육 및 중등 이후의 교육 등에 필요한 다양한 맞춤형 서비스와 제품을 개발하고 있습니다. ETS에는 미국을 비롯한 전세계 지부에서 3,200명이 넘는 직원이 근무하고 있습니다. 이들 가운데 2,300여 명의 전문가들은 교육학, 심리학, 통계학, 계량심리학, 컴퓨터공학, 사회학, 인문학 분야의 전문지식을 갖추고 맞춤형의 혁신적인 평가 방법을 통해 학습 능력을 향상시킬 새로운 방안을 찾는 데 힘쓰고 있습니다."
