,author,info,booklist
0,나예리,특유의 냉소적인 캐릭터와 독특한 그림체로 데뷔 초기부터 나예리 매니아 집단을 형성한 작가 나예리는 파워풀하고 인상적인 작품으로 두터운 팬층을 가지고 있는 대표작가 중 한 명이다 고등학교를 졸업하고 아마추어 만화 동호회    에서 활동하여 차근차근 만화가로써의 발판을 다져갔다 의 기 회장을 역임하기도 했던 나예리는 당시부터 높은 지명도를 자랑한 아마추어 작가였다 그 후 대학을 졸업하고 팬시회사에 입사했으나 년만에 퇴사 만화가의 길을 걷기 시작한다년 가톨릭 잡지 내 친구들에서 아동물 탐정이 될래요를 발표하며 데뷔한 후 년 윙크에 실린 단편 흐르지 않는 시간으로 주목받기 시작했다 이후 여러 단편을 발표하며 역량을 쌓아나가 이듬해인 년 그녀의 대표작으로 많은 사랑을 받고 있는 네멋대로 해라의 연재를 시작했다 아마도 달콤하겠지    특명 대에 하지 않으면 안될 가지   피터 판다 등의 장편과 여러 단편들을 꾸준히 발표하며 입지를 굳혀왔다 만화에서만 한정되지 않고 소설 크로스 로드 발표 직장인 물 드레스 코드 연재 등 여러 활동을 보여주고 있다그녀의 만화의 특징은 얼핏 건조해보이지만 궁극적으로는 휴머니티를 강조하고 있다는 점과 탄탄한 그림체일 것이다 특히 남녀 모두 가녀리고 어깨가 좁은 기존의 순정만화들의 그림체와는 달리 굵은 선이 강조해주는 좋은 체격의 캐릭터 이 특징적인 그림체가 여성팬만이 아니라 남성팬들로부터도 많은 호응을 얻고 있는 주된 비결이라 할 수 있을 것이다자신과 마음이 통하는 사람을 만나는 것처럼 큰 행운은 없다는 내용의 초기작 럭키맨 어른으로 성장하는 과정에서 겪을 수 있는 다양한 감정의 변화를 내밀하게 담아낸 대표작 네 멋대로 해라 대들의 생활을 리얼하게 그려내 많은 인기를 끈 특명 대에 하지 않으면 안될 가지 등은 이미 팬들로부터 열렬한 지지를 받은 작품으로 꼽힌다 아마도 달콤하겠지   와  는 순정만화계의 고질적 병폐인 잡지 폐간에 따른 연재중단으로 많은 독자들에게 아쉬움을 주었지만 그녀는 멈추지 않고 나예리표 만화의 길을 팬들과 함께 걸어갈 것이다,탐정이 될래요/네멋대로 해라!/아마도 달콤하겠지-MAY BE SO SWEET/특명! 10대에 하지 않으면 안될 50가지/Glory Age/피터 판다/크로스 로드/럭키맨/네 멋대로 해라/특명! 10대에 하지 않으면 안될 50가지/아마도 달콤하겠지-MAY BE SO SWEET/Glory Age
1,이문열,년 서울에서 태어나 경북 영양 밀양 부산 등지에서 자랐다 서울대학교 사범대학에서 수학했으며 년 동아일보 신춘문예에 중편 새하곡이 당선되어 등단했다 이후 들소 황제를 위하여 그해 겨울 달팽이의 외출 우리들의 일그러진 영웅 등 여러 작품을 잇따라 발표하면서 다양한 소재와 주제를 현란한 문체로 풀어내어 폭넓은 대중적 호응을 얻었다 특히 장편소설 사람의 아들은 문단의 주목을 이끈 대표작이다한국 전쟁 당시 공산주의자였던 아버지 이원철이 홀로 월북을 하는 등 순탄치 않은 어린 시절을 보내고 중고등학교 중퇴 후 검정고시로 서울대학교 사범대학 국어교육과에 입학하였으나 다시 사법고시를 준비하는 등의 굴곡 많은 인생을 살아왔다 그의 창작에 대한 열정은 남다르다 대구매일신문에 나자레를 아십니까가 가작으로 뽑힐 때까지 많은 좌절을 경험한다 초등학교를 제외하고는 서울대 사범대까지 모두 중도에 포기했으며 신춘문예 사법고시 등에서 연이어 실패를 맛 보았다년 학문 연구의 기회를 가질 수 있을 것이라는 생각에 교수제의를 받아들여 세종대 강단에 섰으나 년만에 개인적인 이상실현의 문제와 작가로서 충분히 작품 세계를 이룩할 시간적 여유가 부족해지는 것을 우려 창작에 전념하기 위해 교수직을 사임했다 년 월 한나라당 공천심사위원회 위원으로 활동하였다 현재는 조각가 친구의 권유로 경기도 이천에 작업실을 마련했고 그곳에 인문학적 교양을 쌓고 깊은 학문 연구를 할 수 있는 조그만 자리를 젊은 친구들에게 마련해주고자 뒷동산 부아악이라는 산 이름을 따와 부악문원을 설립하여 새로운 지식의 샘을 젊은 학도들과 함께 탐구하려는 열정을 보이고 있다년 월 이문열의 책 판매량이 천만 권을 넘어섰다는 보도가 나왔다 그 가운데 삼국지 수호지 평역을 제외한 순수 창작물의 판매량이 천만 권 이상이라니 한국인 명에 한 명은 그의 소설책을 가지고 있는 것이다 게다가 각종 문학상 수상작품집 등을 따지면 그의 글을 집에 가지고 있지 않은 한국인은 없다고 해도 무리한 주장은 아니다 하지만 이런 상업적 성공은 이문열을 이해하는 단서 가운데 작은 하나일 뿐이다이문열의 작품 세계엔 그의 경험이 고스란이 담겨 있다 월북한 아버지로 인한 좌절 전통적인 가풍의 집안은 그의 경험이며 동시에 그의 소설에서 쉽사리 읽어낼 수 있는 특징이다 사람의 아들 황제를 위하여 금시조 선택 등의 책은 이런 특징을 그대로 담고 있다 중요한 것은 그의 경험이 한국 현대가 겪고 있는 현실과 맞닿아 있다는 것이다 그가 거듭 묻는 질문 전통과 현대의 문제 분단 상황의 문제 등은 바로 그의 경험에서 나온 것들이며 한국사회가 피할 수 없는 질문들이다이 질문들에 대한 이문열의 대답은 보수적이고 전통지향적인 것으로 보인다 일부에선 수구주의나 남성우월주의로 비판받기도 했다 선택을 둘러싼 논쟁이나 총선연대 활동이나 언론개혁을 둘러싼 논쟁이 그것이다 이문열이 자신의 소설에 담고 있는 주장이 무엇이든 그가 소설을 통해 또는 소설 속에서 던지는 질문이 한국 사회가 해결해야 할 바로 그 문제라는 것은 확실하다한국문학에 미치는 영향력이 워낙 커서 문학 작품이 발표될 때마다 많은 찬사와 비판을 동시에 받고 있지만 가장 많은 독자층을 가지고 있는 이 시대 대표 작가라는 점은 변함이 없다 오늘의 작가상 동인문학상 이상문학상 현대문학상 호암예술상 등을 수상하였으며 년 은관문화훈장을 수상했다 그의 작품은 현재 미국 프랑스 등 전 세계 여 개국 개 언어로 번역 출간되고 있다작품으로 장편소설 젊은날의 초상 영웅시대 시인 오디세이아 서울 선택 호모 엑세쿠탄스 등 다수가 있고 단편소설 이문열 중단편 전집전 권 산문집 사색 시대와의 불화 신들메를 고쳐매며 대하소설 변경전권 대륙의 한전권이 있으며 평역소설로 삼국지 수호지 초한지가 있다,사람의 아들/사람의 아들/황제를 위하여/금시조/선택/선택/젊은날의 초상/영웅시대/시인/오디세이아 서울/선택/호모 엑세쿠탄스/이문열 중단편 전집/사색/시대와의 불화/신들메를 고쳐매며/변경/대륙의 한/삼국지/수호지/초한지
2,조애너 콜,저자 조애너 콜 은 어렸을 때부터 과학을 좋아하는 영리한 소녀였다 신기한 스쿨 버스 속의 프리즐 선생님처럼 보고서를 쓰고 무엇이든지 직접 경험해 보기를 원했던 어린 소녀는 벌레나 곤충에 관한 책을 즐겨 읽었다 초등학교 선생님 도서관 사서 어린이 책 편집자를 거쳐 자신이 진정으로 하고 싶었던 글쓰기를 본격적으로 시작한 후 현재까지 권이 넘는 어린이 책을 발표했다 그중에서도 과학책을 쓰는 것이 가장 재미있다는 작가는 배우는 것은 재미있다라는 신념으로 정확한 과학적인 사실과 재미가 곁들여진 책을 꾸준히 발표하고 있다 항상 책을 쓸 때는 먼저 자료 조사를 충분히 거친 후 박물관을 직접 방문하거나 현장 답사를 하고 전문가들과 인터뷰를 하는 등 철저한 사전 준비를 하는 것으로 유명하다 신기한 스쿨 버스 시리즈를 비롯한 많은 책들로 워싱턴 포스트지 논픽션 상 미국 도서관 협회 선정 올해의 어린이 책 어린이 책에 기여한 공로로 주는 데이비드 맥코드 문학상 등 많은 상을 수상했다어린 시절 벌레 곤충에 대한 책들을 즐겨 읽은 과학 소녀였다 초등학교 교사 사서 어린이 책 편집자로 일하다가 어린이 문학과 과학 지식을 결합한 어린이 책을 쓰기로 결심했다 첫 번째 책 바퀴벌레를 시작으로 권이 넘는 책을 펴냈다배우는 것은 재미있다라는 생각을 바탕으로 브루스 디건의 그림과 함께 출판물 사상 혁신적이고 새로운 길을 연 신기한 스쿨 버스 시리즈를 썼다 이 작품은 스쿨버스를 타고 땅밑으로 들어간 아이들을 통해 땅밑세계를 알 수 있는 과학 그림동화로 문학적인 상상력과 과학적 사실들을 접목해 놓아 아이들을 과학뿐만 아니라 모험심 상상력 환상적인 재미까지 동시에 느낄 수 있게 한다 조애너 콜의 글은 농담과 위트가 넘치는 재미에 쉽게 빠져들게 한다 동료인 브루스 디건의 펜과 수채화를 이용한 유머러스한 그림은 글을 못 읽는 아이들에게도 웃음을 자아내게 한다 이런 색다른 내용과 형식을 통해 아이들이 과학과 쉽게 친해질 수 있는 지름길을 제공한다이 작품은 년에 출간되어 만 어린이 독자를 사라잡은 어린이 과학책의 초베스트셀러가 되었으며 워싱턴 포스트 논픽션상 데이비드 맥코드 문학상 등 많은 상을 받았다 권으로 완결된 신기한 스쿨 버스 시리즈와는 달리 신기한 스쿨 버스 키즈 시리즈는  만화 시리즈를 책으로 바꾼 것으로 미국에서도 계속적인 인기를 얻고 있으며 권까지 출간되었다이 작품 외에 강아지가 태어났어요는 강아지가 태어나고 자라나는 과정을 간결하면서도 사실적으로 전달한다 아이들이 시간이 지남에 따라 단계별로 성장해가는 강아지의 모습과 습성 등을 이해하도록 구성한 작품으로 강아지의 성장과 출생에 대한 정보 뿐만 아니라 아이들에게 생명에 대한 신비와 감동도 느끼게 해준다조애너 콜 작품의 특징은 내용의 정확성 그림동화적 재미 실험을 통한 실제 경험으로 한 권에 한 주제씩을 정하여 그것에 관한 과학 정보를 정확하고도 쉽게 설명함으로써 과학을 쉽게 접할 수 있다는 것이다 작가는 과학책은 어렵다는 고정관념을 뒤집고 아이들이 동화책을 읽듯이 재미있게 읽을 수 있도록 함으로써 과학을 처음 접하는 아이들에게 과학에 대한 친근감을 느끼게 한다,바퀴벌레/강아지가 태어났어요
3,이호백,년 서울 출생 서울대학교 산업 미술학과와 고려대 신문방송학과 대학원을 졸업한 후 파리 대학 커뮤니케이션 이미지 인스티튜트를 수료했다 년 아동도서 기획회사인 재미마주를 설립하고 세상에서 제일 힘 센 수탉 도대체 그동안 무슨 일이 일어났을까 등 어린이들의 꾸준한 사랑을 받는 다양한 책을 출간했다 뉴욕타임스 우수 그림책  스웨덴  피터펜상  등 수상,세상에서 제일 힘 센 수탉/도대체 그동안 무슨 일이 일어났을까?
4,권정생,일본 도쿄에서 태어나 광복 직후 우리나라로 돌아왔다 경북 안동 일직면에서 마을 교회 종지기로 일했고 빌뱅이 언덕 작은 흙집에 살면서 몽실 언니를 썼다 가난 때문에 얻은 병으로 세상을 떠나면서 인세를 어린이들에게 써달라는 유언을 남겼다 년 세상을 떠날 때까지 작고 보잘것없는 것들에 대한 따뜻한 애정과 굴곡 많은 역사를 살아온 사람들의 삶을 보듬는 진솔한 이야기로 많은 사랑을 받았다 년 단편동화 강아지똥으로 기독교아동문학상을 받았고 년 무명 저고리와 엄마가 조선일보 신춘문예에 당선되었다 사과나무 밭 달님 바닷가 아이들 점득이네 하느님의 눈물 밥데기 죽데기 또야 너구리가 기운 바지를 입었어요 몽실 언니 먹구렁이 기차 깜둥 바가지 아줌마 등 많은 어린이책과 소설 한티재 하늘 시집 어머니 사시는 그 나라에는 등을 펴냈다 권정생어린이문화재단 홈페이지에서 더 많은 이야기를 살펴볼 수 있다,몽실 언니/사과나무 밭 달님/바닷가 아이들/점득이네/하느님의 눈물/밥데기 죽데기/또야 너구리가 기운 바지를 입었어요/몽실 언니/먹구렁이 기차/깜둥 바가지 아줌마/한티재 하늘/어머니 사시는 그 나라에는
5,샘 맥브래트니,아일랜드 더블린의 트리니티 대학에서 역사와 정치학을 공부했다 년부터 년까지의 교사 생활 후 은퇴하여 어린이책 글쓰기에 전념했다 돼지에게 안장을 얹어라     로 년 비스토 아동도서상을 받았으며 년 동안 어린이들을 위한 많은 책을 쓰면서 미국의 애비상 네덜란드의 실버른그리펠상 등 수많은 상을 받았다 전 세계에서 천만 부 이상이 팔린 세계적인 베스트셀러이자 스테디셀러인 내가 아빠를 얼마나 사랑하는지 아세요 시리즈를 비롯하여 엄마는 언제나 네 곁에 있단다 네 모습 그대로 사랑한단다 등으로 국내에도 잘 알려진 작가이다특히 내가 아빠를 얼마나 사랑하는지 아세요는 한국은 물론 영국 미국 프랑스 독일 일본 등 전세계를 통해 만부 이상이 판매된 베스트셀러로서 그림책의 고전으로 자리잡은 작품이다 이 작품은 숲 속에 사는 아기 토끼와 아빠 토끼가 누가 더 서로를 사랑하는지 견주어 보는 이야기를 통해 가족 사랑의 의미를 일깨워 주는 그림동화이다 아빠와 아기가 서로에 대해 갖고 있는 사랑이 아름다운 은유적 표현을 통해 잔잔하게 전해지는 동화로 상대에 대한 사랑이 얼마나 큰지를 알리고 싶어하는 마음을 간결한 문장으로 묘사해 가족애의 소중함을 느끼게 해준다그의 다른 작품 엄마는 언제나 네 친구야에서는 주위가 캄캄해져도 더 놀고 싶어하는 아기 여우의 모습을 통해 아이다운 천진스러운 모습과 심리적 갈등을 세밀하게 묘사했다,돼지에게 안장을 얹어라/내가 아빠를 얼마나 사랑하는지 아세요?/엄마는 언제나 네 곁에 있단다/네 모습 그대로 사랑한단다/내가 아빠를 얼마나 사랑하는지 아세요/엄마는 언제나 네 친구야
6,시오노 나나미,년 도쿄에서 태어났다 년 가쿠슈인대학 문학부 철학과를 졸업한 뒤 년 이탈리아로 건너가서 년까지 공식 교육기관에 적을 두지 않고 혼자서 르네상스와 로마 역사를 공부했다 년에 집필 활동을 시작하여 르네상스의 여인들을 잡지 주오코론에 연재하면서 작가로 데뷔했다 년부터 이탈리아에 정착하여 여 년 동안 고대 로마와 르네상스에 천착해왔으며 기존의 관념을 파괴하는 도전적 역사 해석으로 수많은 독자를 사로잡았다년 체사레 보르자 또는 우아한 냉혹을 발표하여 크게 명성을 얻었고 이 저서로 마이니치 출판문화상을 수상했다 년 바다의 도시 이야기로 산토리 학예상과 년에 키쿠치 칸 상을 수상했다 년부터 로마제국 흥망사를 그린 로마인 이야기 시리즈를 년에 한 권씩 년간 집필했으며 년 로마인 이야기 로 신초 학예상 년 시바 료타로 상을 수상했다년에는 시오노 나나미 르네상스 저작집전 권을 출간했다 년 이탈리아 국가공로훈장 수훈 년 일본 문화공로자로 선정되었다 년 로마 멸망 이후의 지중해 세계전 권를 출간했고 년부터 십자군 이야기 시리즈를 펴냈다 그 외에도 사는 방법의 연습 등 깊이에서 우러나오는 심상을 전하는 많은 수필과 단상집 등의 저서가 있다,르네상스의 여인들/체사레 보르자 또는 우아한 냉혹/바다의 도시 이야기/로마인 이야기/로마인 이야기 1/시오노 나나미 르네상스 저작집/로마 멸망 이후의 지중해 세계/십자군 이야기/사는 방법의 연습
7,하야시 아키코,일상에서 쉽게 접하는 사소한 풍경들을 매우 섬세하게 그려내며 잔잔하고 깊은 울림과 감동을 주는 작가이다 아이를 가장 아이답게 묘사한다는 평을 받는다 유아에 대한 심리를 정확하게 파악하고 있는 스토리와 사실적인 묘사는 그녀의 깊은 관찰력에서 비롯되었다고 한다 또한 그림책 구성도 아이들의 흥미를 효과적으로 유발할 수 있도록 적재적소에 알맞은 이야기와 요소를 잘 맞춰 구성하고 잇다 그녀는 어린 아이들이 이야기를 따라가지 못할 거라는 유아 도서 세계의 편견을 깨고 그림책을 풍부한 이야기가 있는 세계로 이끈 작가이기도 하다그림 보는 것을 어릴 때부터 무척 좋아했던 하야시 아키코는 화가의 스튜디오에 다니며 드로잉을 배웠다 어릴 때에 그림을 보며 느꼈던 즐거움과 기쁨은 어른이 된 뒤에도 생생하여 다시 그 기쁨을 아이들에게 전해 주고 싶은 바람에서 그림책을 그리기 시작하게 되었다 아이들의 작은 행동 하나라도 놓칠세라 혹은 필요한 포즈를 얻기 위해 셀 수도 없을 정도로 많은 아이들 사진을 찍었다 그녀의 작업실에는 아이들 사진을 보관하고 있는 서랍장이 있으며 지금까지도 그녀의 그림책의 시작점이자 마법의 서랍으로 있다마나헤히로시 디자인사무소를 거쳐 요코하마 국립대학 교육학부 미술과에서 본격적으로 그림을 공부하며 일러스트레이터로서의 꿈을 키웠다 그가 삽화를 그리기 시작한 것은 대학시절 잡지 엄마의 친구 후쿠인간 쇼텐 발행 등에 컷을 그리면서 일러스트레이터로서 활동하기 시작할 무렵부터이다년 처음으로 그림책을 발표했고 이후 일본을 대표하는 일스트레이터로서 미쓰마사 안노의 세계 평화를 위한 국제적인 공동 작품인    의 참여 작가로 뽑히기도 했다 그의 작품에 나오는 주인공들은 그의 조카들이며 그 조카들은 늘 그를 후원해 주는 든든한 친구이자 훌륭한 독자이다 그의 그림의 친숙함은 아이들에게 리얼리티를 살려주는데 처음 동생을 보게 되었을 때 유치원에 처음 간 날 이사 가던 날 목욕하는 것 심부름하던 날 등의 소재를 통해 적절히 표현돼 있다 아키코는 이런 평범한 이야기를 그리면서 아이들에게 극적인 재미를 높이기 위하여 영화를 찍듯이 아이의 시야에 들어오는 사물을 크게 확대하거나 과감히 삭제하는 기법을 사용했다하야시 아키코의 그림책은 동양적인 그림에도 불구하고 서구의 어린이에게도 친숙하게 다가간다 종이비행기 년 출간와 이슬이의 첫 심부름년 출간은 그림으로 이야기를 만들어 낼 수 있는 새로운 그림책 화가의 등장이라는 인상을 독자에게 안겨주었다 아시아를 비롯한 세계 여러 곳의 나라에서 사랑 받고 있는 하야시 아키코의 그림은 휴머니즘과 아이들의 세계에 있는 순진 무구함이 고스란히 담겨있다 현재 가루이자와의 야조의 숲 근처에 살면서 여유 있는 페이스로 작업하고 있다목욕은 즐거워 싹싹싹 구두구두 걸어라 순이와 어린동생 이슬이의 첫심부름 숲 속의 요술물감 오늘은 무슨 날 야옹이도 셀 줄 아네 나도 캠핑 갈 수 있어 신비한 크리스마스이야기 윙윙 실팽이가 돌아가면 나도 갈래 할머니 집 가는 길 오늘도 좋은 하루 종이비행기 무지개산의 비밀 즐거운 빵 만들기 등의 책에 그림을 그렸다,종이비행기/이슬이의 첫 심부름/목욕은 즐거워/싹싹싹/구두구두 걸어라/순이와 어린동생/이슬이의 첫심부름/숲 속의 요술물감/오늘은 무슨 날?/야옹이도 셀 줄 아네/나도 캠핑 갈 수 있어!/신비한 크리스마스이야기/윙윙 실팽이가 돌아가면/나도 갈래/할머니 집 가는 길/오늘도 좋은 하루/종이비행기/무지개산의 비밀/즐거운 빵 만들기
8,윤구병,철학교수를 그만두고 공동체 학교를 꾸려 어린이들을 위한 교육과 글에 매진하고 있는 작가이다 년에 전라남도 함평에서 태어났다 공부는 제법 했으나 말썽도 많이 부리는 학생이었고 고등학교 학년 때는 무전여행을 떠났다가 학교에서 쫓겨나기도 했다고 한다위로 형이 여덟 명 있었는데 가장 큰 형의 이름은 일병이고 아홉 번째 막내로 태어나 구병이 되었다 소설에서 봤던 철학과 학생이 좋아 보여 얼결에 서울대 철학과에 들어갔고 강의는 듣는 둥 마는 둥 바람처럼 떠돌다가 성적표에 뜬 초승달과 반달을 원 없이 보기도 했다고 고백한다 하지만 이내 공부를 해야겠다고 마음을 잡고 도서관에 앉아 영어 프랑스어 독일어 희랍어 라틴어를 독학한 것으로 알려져있다대학과 대학원을 졸업한 후 년 한국 브리태니커 회사에 들어갔고 배움나무라는 사외보를 만든다 둘째 누리가 태어나던 년에는 뿌리 깊은 나무 초대 편집장을 역임했다 충북 대학교 철학 교수로 재직하면서 어린이책 기획자로도 활동하였다 어린이 마을 달팽이 과학동화 올챙이 그림책을 기획해서 펴내고 년 보리출판사를 만들어 교육과 어린이 이야기를 담아내는 책을 만들었다 한국사회의 역사와 현실을 어린이들에게 있는 그대로 일러주는 전집형 어린이 백과사전을 만드는가 하면 번역서가 판치던 유아 그림책에 한국 아이들의 모습과 현실을 담는 창작그림책 시대를 열었다년 한국철학사상연구회가 결성되었을 때 초대 공동대표를 맡았고 그 뒤로 오랫동안 단독 대표를 맡았다 년부터 철학 교수를 그만두고 농사꾼이 되고 싶어 산과 들과 갯벌이 있는 전북 부안으로 낙향 농사를 지으면서 대안교육을 하는 변산교육공동체를 설립했다 여 가구 여 명이 모여 사는 변산공동체에서 논농사 밭농사를 짓고 젓갈 효소 술 같은 것을 만들어 자급자족하면서 자녀들에게 공동체 삶의 소중함을 배우고 가르쳐왔다변산교육공동체 혹은 변산공동체학교는 삶터와 일터가 동떨어지고 배움터마저 삶터와 일터에서 멀리 떨어져 있는 근대식 제도 교육이 처음부터 길을 잘못 들었다라는 비판의식에서 시작되었다 스무 해가 넘도록 시간 단위로 타인에게 통제 당하고 기계적인 시간 계획에 길들여진 사람에게 스스로 제 앞가림하는 힘을 기대하는 것은 삶은 밤에 싹 돋기를 기다리는 것만큼이나 부질없는 노릇이라는 그는 텃밭 가꾸기 천연 염색하기 발효 식품 만들기 요리 하기 나무로 생활용품 만들기 그릇 빚기 따위를 배우며 아이들이 마을 안에서 어른들과 함께 자유롭게 지내고 자연 속에서 자기의 시간을 스스로 통제하는 법을 배울 수 있도록 하였다 스스로 자기 삶을 통제할 수 있는 자율성과 함께 어울려 살아가는 법이야말로 교육의 궁극적인 목표라는 것이다 지금 우리 사회가 아이들에게 저지르고 있는 짓에 경악하며 오늘도 그는 아이들과 배우며 가르치고 있다저서로는 가난하지만 행복하게 조그마한 내 꿈 하나 실험 학교 이야기 잡초는 없다 꼭 같은 것보다 다 다른 것이 더 좋아 있음과 없음 모래알의 사랑 등이 있다 가난하지만 행복하게는 그의 삶의 전부나 마찬가지인 변산공동체와 그 이후의 여 년에 대한 생생한 삶의 기록으로 물질 중심의 가치관이 지배하는 세상에서 개인과 국가간 빈부 격차의 확대 갈등은 심화되고 우리의 삶의 질은 점차 피폐되어 가고 있을 경고한다 그리고 가난하지만 행복하게 여러 생명체가 함께 더불어 살 때 우리가 행복해질 수 있음을 이야기 한다또한 함께하는 삶을 일군 윤구병의 공동체 에세이 흙을 밟으며 살다 자연과 인간의 생명을 살리는 윤구병의 생태 에세이 자연의 밥상에 둘러앉다 일 놀이 공부가 하나인 윤구병의 교육 에세이 꿈이 있는 공동체 학교를 통해 변산 공동체에 대한 자신의 삶과 사상을 담기도 했다 기획부터 출간까지 년 넘게 공을 들인 남녘과 북녘 어린이가 함께 보는 보리 국어사전을 기획하고 감수했으며 어린이 그림책 심심해서 그랬어꼬물꼬물 일과 놀이 사전당산 할매와 나울보 바보 이야기모르는 게 더 많아 들도 펴냈다,가난하지만 행복하게/조그마한 내 꿈 하나/실험 학교 이야기/잡초는 없다/꼭 같은 것보다 다 다른 것이 더 좋아/있음과 없음/모래알의 사랑/가난하지만 행복하게/흙을 밟으며 살다/자연의 밥상에 둘러앉다/꿈이 있는 공동체 학교/보리 국어사전/심심해서 그랬어/꼬물꼬물 일과 놀이 사전/당산 할매와 나/울보 바보 이야기/모르는 게 더 많아
9,이상권,산과 들이 있는 마을에서 어린 시절을 행복하게 보냈지만 고등학교 시절에는 난독증과 불안 증세로 학교 생활에 적응하지 못해 거의 꼴찌였다 창작과 비평에 소설 눈물 한번 씻고 세상을 보니를 발표하면서 작가가 됐고 소설 고양이가 기른 다람쥐는 고등학교 학년 국어교과서에 수록됐다 지은 책으로 난 멍 때릴 때가 가장 행복해 숲은 그렇게 대답했다 어떤 범생이가 하늘로 날아간 집오리 서울 사는 외계인들 대한 독립 만세공저 첫사랑  빡빡머리 앤공저 등이 있다,창작과 비평/난 멍 때릴 때가 가장 행복해/숲은 그렇게 대답했다/어떤 범생이가/하늘로 날아간 집오리/서울 사는 외계인들/대한 독립 만세/첫사랑 ing/빡빡머리 앤
