ISBN13,review
9788936442804,이현 작가님의 푸른 사자 와니니의 리뷰이다. 이 책은 특히나 선생님들이 많이 추천하는 책이었다. 한 책 읽기 책으로도 선정되어 많은 학교에서 읽히고 있다. 그래서 호기심에 구입해보았다. 푸른 사자 와니니는 와니니가 주인공이다. 암사자들의 무리에서 어린 사자에 해당하는 와니니가 겪는 이야기들이 나온다. 약간 라이온킹이 떠오르기도 하면서 몰랐던 부분들도 알게 되어 아주 재미있게 읽었다. 
9788936442804,"학교에서 하는 한학기에 1권씩 정해서 하는 독서활동인
온책읽기 지정 도서라 구매하게 되었습니다.
읽고보니 아이가 라이언킹이 떠오르는 책이라고 말하네요.
동물의 상위 포식자인 사자들 무리에서도 약하고 강함에 따라
삶이 힘들어지고 그 자리를 지키기 위해 또 투쟁해야 하는
삶의 연속인데 와니니는 약하지만 함께 서로 협력하고 도움으로서
강하해진다는 그런 스토리네요. 동물을 빗대어 이야기 하고 있지만
인간의 모습도 이와 다르지 않다고 생각이 드네요.
 "
9788936442804,"푸른 사자 와니니
이현

항상 아이를 핑계로 아동도서를 구매하지만 사실은 내가 읽고 싶어서 고르다보니 역시 아이의 눈높이에는 좀 높은 것같다.
유아기 도서이외의 아동도서는 어른이 봐도 좋은 느낌을 주는 책이 좋은거다 라고 기준을 두기에 아이가 그 수준에 느끼는 것과 어른의 눈으로.봐도 좋다고 느껴야 성공적인 독서물이라고 묶어버렸고 역시 이 책 또한 그랬다.
아이눈에 지나가는 이야기는 단순한 사냥과 사는 이야기지만
어른인 내게는 초원의 바람부터 계절이 주는 삶의 고난들까지 암사자 와니니의 눈으로 보게 되는것이 만족스럽다.
아이는 좀 커서 봐도.좋을 것 같지만"
9788936442804,"우리 아이가 푸른사자 와니니를 좋아해서 읽어보고싶다하여 주문하게 되었습니다.
코로나라서 밖에도 잘 못나가고앞으로도 계속 주문하겠지만 아이가 좋아하니 계속 주문하게 되네요
저희아이는 지금까지 시리즈로 읽고있는데도 늘 재밌다고 계속 주문을 해달라고합니다.
질리지 않을만큼재밌다고 합니다.
초등학교5학년이 보기에도 어렵지않고 너무나도 재밌어 합니다.
아이가 얼마나 자랑을하는지 조카도 푸른사자 와니니를 읽고 싶다고 주문해달라고 하네요
시리스로 많이구매할려고 생각중이고 아이도 잘읽어서 좋네요"
9788936442804,푸른 사자 와니니 리뷰입니다 아이가 초등학교 4학년이 되어서 구매했는데요 애가 흥미를 가지지 않아서 읽히기 힘들었어요 그래서 제가 읽어 봤는데 저는 너무 재미있섰습니다 사자 와니니가 무리에서 쫓겨나서 혼자 살아가기 위해 풀과 열매 흰개미 타조알을 닥치는대로 먹어치우면서 노력을 하는 모습이 인상적이였어요 나중에 다른 사자를 만나 무리를 이루고 점점 사냥꾼으로 발전마는 와니니를 보며 뿌듯했습니다 나중에 아이한테 한번더 권해봐야겠어요
9791164137527,"<흔한남매 7>
흔한남매 원저/백난도 글/유난희 그림
미래엔아이세움/2021년 3월 11일
""흔한남매가 웃음 폭탄과 깨알같은 재미를 안고 다시 우리를 찾아왔다!""
 
    1. 들어가며
  ""흔한남매의 변신은 무죄(?)""
""유튜브 구독자 214만 돌파""
  흔한남매의 변신은 무죄다. 흔한남매의 인기는 사그러들 줄 모르고 드디어 유튜브 구독자 214만명을 넘었다고 한다. 이런 인기는 흔한남매의 주인공인 정다운, 한으뜸 씨도 몰랐을 것이다. 내가 처음 우리 딸아이에게 [흔한남매 1]을 2019년 6월에 사주었던 게 엊그제 같은 데 벌써 3년 만에 흔한남매 7권까지 나왔다. 그리고 이제는 흔한남매 8권의 출간을 앞두고 있다. 이제는 흔한남매 시리즈 뿐만 아니라, 흔한남매 방탈출, 흔한남매 불꽃튀는 우리말, 흔한남매 흔한 호기심, 흔한남매 안흔한 호기심 등 흔한남매 관련 시리즈는 지금도 계속되어 출간되고 있다.
  어떤 사람들은 '그깟 코믹북이 뭐 그리 대단할까' 라고 생각할 지 모르지만, 어른이 내가 읽어도 구성력과 내용은 탄탄하게 느껴지고, 절대 허접해보이지 않는다. 그렇게 재미와 내용 이 두마리 토끼를 모두 잡기 위해 심혈을 기울였기에 더욱더 흔한남매는 인기가 있는 것 같다. 더군다나 흔한남매 시리즈는 모두 '흔한남매' 유튜브 동영상을 바탕으로 여러 에피소드들 중 재미있었고 인기있었던 에피소드를 엄선해서 책으로 만들었다고 한다. 그래서그런지 이번 흔한남매 7권은 예전 시리즈에 비해 웃음을 자아내고 더욱더 재미있는 에피소드들을 12개 실었고, 깨알같은 재미를 위해서 '숨은 유령 찾기' , 짝사랑 테스트, 추억 색칠하기' 등 깨알 재미가득 담긴 놀이들이 추가로 실었다고 한다. 
딸아이에게 얼마나 재미있냐고 물어보니  대답은 하지 않고 그저 미소만 지을 뿐이다. 딸아이 반응은 '그저, 웃지요. 말이 필요없다' 라는 의미이리라.
그럼 얼마나 흔한남매 7이 전작들에 비해 웃음 폭탄을 많이 장착했는지 한 번 확인해보자!
우리 으뜸이와 에이미 흔한남매를 만나러 가보도록 하자.
    2. 책 속으로
  흔한남매 시리즈가 사랑받는 이유는 무엇일까? 주인공인 흔한남매가 멋있고 예뻐서? 아니면 흔한남매가 뛰어난 능력을 가지거나 특별하니까? 아니다. '흔한남매'라는 명칭에서 알 수 있듯이 그들은 너무 흔하기 때문이다. 그들은 잘 생기거나 예쁜 모습이 아닌 우리와 닮은 모습이다. 우리와 같이 너무나 평범하게 일상을 영위하고 있는 사람들이기 때문에 우리는 흔한남매를 사랑하고 우리 아이들도 흔한남매에 푹 빠지는 것이다. 왜냐하면 그들의 일상적 모습이 우리의 일상과 닮았기 때문이다. 
  흔한남매가 보여주는 요절복통 소동과 이야기들은 우리가 일상생활 속에서 대부분 다 겪는 일이다. 오빠와 여동생 남매 사이에 흔히 일어날 수 있는 일들, 남매 사이의 시기심과 싸움 등 형제가 있는 사람이라면 충분히 공감할 수 있는 이야기이다. 이번에 이 책 속에 담긴 12편의 에피소드 또한 우리가 충분히 그 내용을 짐작할 수 있고 공감할 수 있는 이야기들로 짜여져 있다. 그러면 어떤 이야기들이 우리에게 웃음 폭탄을 날려줄 것인가?
    12편의 에피소드들 중 인상깊었고 특히 재미있었던 에피소드를 몇 개 소개하고자 한다. 아마 그 에피소드를 보면 '그래, 나도 그런 적 있는데..' 라고 맞장구치며 공감할 수 있을 것이다. 또한 마치 '톰과 제리'를 보는 것처럼 으뜸이와 에이미의 쫓고 쫓기는 모습과 서로 못 잡아 먹어서 안달인 듯한 모습까지도 볼 수 있을 것이다. 그런 모습들이 우리 아이들이 형제, 자매. 남매 관계에서 겪고 불평하는 것들이며, 흔한남매는 섬세하게 얘리하게 그 감정과 생각을 잘 캐치하여 잡아낸 것이다. 그래서 에이미가 으뜸이에게 복수하고 놀리는 장면에서 평상시 오빠한테 당해온 여자 아이들은 '복수했다'는 통쾌함과 대리만족을 느낄 지도 모른다. 또한 오빠들은 으뜸이가 에이미에게 당하는장면을 보면서 안타까움과 함께 동병상련의 마음을 느낄런지도 모른다. 흔한남매의 모습이 우리 아이들의 모습이라 이 책을 읽는 부모들도 아이의 마음과 생각을 간접적으로나 알 수 있을지도 모른다. 이렇게 '흔한남매' 는 아이들과  부모들에게 많은 영향을 미치고 있는 것이다.
  <1화 지독한 화장실 전쟁>
  누구나 그런 경험 있을 것이다. 맛있다고 먹었는지 그 음식이 상했는지 배가 아프기 시작하고 어느덧 뱃속이 부글부글 거리며 하루종일 화장실을 들락날락 거리던 경험 말이다. 그런데 너무 많이 설사한 나머지 엉덩이가 헐을 정도로, 탈수가 올 정도로 힘들어하기도 해봤을 것이다. 그런데 그 화장실을 들락날락거리는 사람이 나 말고 또 한 사람이 있다면, 그런데 나랑 그 사람이랑 한 집에 사는 가족이라면? 근데 화장실은 한 개 밖에 사용할 수 없다면 어떻게 하겠는가? 그런 상황에서 무엇을 하겠는가? 그런 상황을 가정해서 흔한남매 7 1화 지독한 화장실 전쟁 에피소드는 구성이 되었다. 
  어느 날 에이미와 으쯤이는 소시지에 케첩을 뿌려서 맛있게 냠냠 먹는다. 그런데 케첩 유통기한이 지난 줄도 모르고 먹었다가 하루종일 설사를 하게 된다. 그런데 으뜸이와 에이미 둘다 그런 설사 증상을 보이는 데 안방 화장실이 고장나서 거실에 있는 화장실밖에 사용할 수 없다.  에이미는 너무 급하고 막 나올 것 같은데 으뜸이는 화장실 변기에 느긋하게 앉아 게임을 하고 있는 것을 에이미가 발견한다. 
      에이미와 으뜸이가 서로 설사를 참는 방법들이 웃음을 자아내게 한다. 나오는 설사를 막기 위해 의자 모서리에 엉덩이를 갖다되어서 나올려고 하는 설사를 막으려고 한다던가. 제자리에서 콩콩 뛴다던가, 제발 나와달라고 앞으로 너 말 잘 들을거라며 사정사정 하는 등 그런 방법들이 한편으로 공감을 하면서도 역시 너무나 재미있다. 아마 실제 유튜브 장면보다 만화로 보는 게 더 재미있는 것 같다. 물론 유튜브도 연기를 하면 이런 표정을 보일 수 있겠지만, 만화는 그 표정을 실감나게 잘 그리면 두고두고 볼 수 있어서 더 재미있는 것 같다. 유튜브도 물론 다시 보기를 통해서 볼 수는 있겠지만, 현실감은 떨어질 것이다. 
과연 에이미와 으뜸이는 이 지독한 화장실 전쟁에서 무사히 이기고 설사의 고통에서 벗어날 수 있을까? 책에서 직접 확인하시길 바란다.
  <3화 오빠 있어서 좋을 때>
평상시 싸우는 남매이긴 하지만, 아무래도 오빠가 있거나 언니, 형이 있으면 모르는 것이 있을 때 도움을 받을 수 있어서 좋다. 나도 딸, 아들해서 아이가 둘 있는데, 첫째가 누나이다보니  동생이 모르는 거 있으면 가르쳐주기도 하는 모습을 보여준다. 특히 자신이 구구단 외울 때 동생에게도 가르쳐주어서 아직 유치원생인 둘째가 구구단을 50%는 외울 수 있게 되었다. 그리고 요즘에는 내년에 학교에 들어가는 둘째의 한글 공부 시키는 데 매진하고 있다. 엄마인 나보다 엄격하개 때론 친절하게 가르쳐주고 얼마 전엔 한글 단어들을 설명해주는 내용으로 영상도 찍어서 동생에게 보여주기도 했다.  
에이미와 으뜸이도 이번 에피소드를 통해 서로의 소중함과 고마움을 느끼게 된다. 물론 그 방식이 서로를 놀리고 괴롭히는 과정 속에서 깨닫게 되지만 말이다.
      그런데 흔한남매의 경우에는 오빠인 으뜸이가 공부를 잘하는 것이 아니라, 동생이 에이미가 으뜸이보다 공부를 잘 하는 설정을 가져왔다. 에이미는 50점, 으뜸이는 30점, 뭐 결과적으로 보면 둘이 공부 못하는 것은 매한자기인데 그래도 점수로 보자면 에이미가 쪼금 더 잘하는 것이 맞는 것 같다. 그래서 에이미는  오빠가 있어서 좋은 점 첫 번째로 오빠가 공부 못해서 내가 칭찬받을 때라고 썼다. 두 번째로 오빠가 너무 뚱뚱해서 오빠 갈아 있을 때 좋은 점은 오빠 옷을 갈아 입을 때라고 한다. 자신의 체형과 상관없이 오빠 옷을 입으면 자동적으로 그 옷은 아무리 타이트하더라도 풍덩한 루즈핏 옷이 되어버리는 것이다. 우리가 생각하는 오빠가 있을 때 좋은 점들과는 다소 거리가 있지만, 그래도 에이미가 얼마나 오빠인 으뜸이에게 의지하고 도움을 받는 지 알 수 있었다. 나도 어렸을 때 오빠와 많이 싸우고 흔한남매처럼 티격태격 하곤 했는데 이제는 그 시절도 추억이 되어버렸다. 
  <5화 시험공부 잘하는 방법>
  어렸을 때 시험 때가 되면 오빠와 함께 공부할 수 있어서 좋았던 것 같다. 나 혼자 공부하는 것보다 왠지 이 힘든 길을 같이 가는 동지인 오빠가 있어서 왠지 든든하게 느껴지고 의지가 되기도 했었다. 아마 에이미와 으뜸이도 그런 마음이 아닐까. 5화는 시험 공부를 하면서 생길 수 있는 이야기를 다루었는데 그 에피소드를 읽으니깐 어렸을 때 추억이 새록새록 떠올라서 좋았다. '나도 오빠와 그랬었는데' 히먄서 상당히 공감을 하면서 읽을 수 있었다.
    이 밖에도 웃음을 유발하는 에이미와 으뜸이의 티격태격 일상은 물론이고, 흔한 동네의 매력 만점 3대 여신, 설렘이 가득한 초등학생의 고백 유형, 밤새워 친구와 놀 때 남매의 차이점, 온갖 역경을 이겨 내며 뷔페로 향하는 초밥 원정대의 이야기 등 골라 읽는 재미가 가득한 에피소드 만화가 수록되어 있으니 책을 통해서 그 재미를 느껴보시라~!
  <깨알 재미 코너>
  [흔한남매 7]에서는 에피소드 중간중간에 깨알 재미를 유발하기 위한 코너가 있다. 
 ‘알쏭달쏭 다른 그림 찾기’, ‘오싹오싹 숨은 유령 찾기’, ‘믿거나 말거나 짝사랑 테스트’ 등 깨알 재미가 가득한 놀이 페이지가 수록되어 있다. 이 코너는 유튜브 영상에서 느낄 수 없는 색다른 재미이다. 오직 이 책 [흔한남매 7]을 구입한 사람만이 누릴 수 있는 특권인 것이다.그래서 이 책을 읽는 아이들은 중간 중간 이런 코믹 테스트를 해보면서 지루하거나 집중이 안 되는 문제를 해결할 수도 있다. 실제로 글을 잘 읽지 못하는 둘째도 누나가 읽어주는 것을 듣다가 이 코너만 나오면 '자기가 직접 이거 해보겠다고! 나 혼자서도 할 수 있다' 며 신나하는 둘째였다. 그렇게 아이들은 게임처럼, 놀이처럼, 이 책을 읽고 즐길 수 있는 것이다.
  <오싹오싹 숨은 유령 찾기>
  교실 곳곳에 숨어 있는 꼬마 유령 10마리를 찾아보라!^^ 꼬마 유령이 보이는가?
    <알쏭달송 다른 그림 찾기>
  아름다운 두 개의 그림 속에서 서로 다른 그림 10곳을 찾아보세요!
    <믿거나 말거나 짝사랑 테스트>
  나의 짝사랑 상대가 나를 얼마나 좋아하는지 이름으로 테스트 보세요!
    3. 나가며
  이번에도 흔한남매는 성공하였다. 이번 책 [흔한남매 7]이 전작들에 비해 더욱더 재미있고 내용도 더 알차고 좋은 것 같다. 어렸을 때 우리에겐 '뽀대통령'이라 불리는 뽀로로 만화가 있었듯이, 우리 아이들 특히 초등학생인 우리 아이들에게는 '흔한남매' 가 있다. 
  코로나로 인해 우리 아이들은 웃음을 잃어버리고 친구를 잃어버렸다.
코로나가 우리에게 일상을 빼앗아갔듯이, 우리에게 가족 만남을 빼았아갔듯이
코로나는 우리 아이들에게서도 웃음, 기쁨, 재미, 놀이, 우정, 배움 등을 빼앗아갔다.
어떻게 보면 어른의 잘못으로 벌어진 코로나 상황을 우리 아이들은 모든 것을 다 빼앗기고 
그들이 감당해야할 것이 너무나 많다.
  진짜 웃음이 필요한 그런 아이들에게 
 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리를 통한
 순수한 웃음과 유쾌한 우애를 선사해주자! 
  마지막으로 너무 집중해서 즐겁게 책을 읽었던 딸아이 사진을 남긴다.
우리 딸을 비롯한 모든 아이들이 
마스크를 벗고 친구와 즐겁게 뛰놀수 있는 그런 날을 바래본다.
 
우리 딸이 하는 말:
엄마! [흔한남매 7] 권 너무나 재미있어요!^^
  어서 빨리 [흔한남매 8권] 주문해주세요!^^
 "
9791164137527,"흔한남매 7권을 샀네요. 아이가 심심할 때 즐겨 읽는 책입니다. 
저도 흔한남매 유투브 영상을 함께 봤었는데 재미있더라구요. 아이가 킥킥거리며 유투브를 보더니 책도 너무 좋아하네요. 으뜸이와 에이미 남매의 흔한 일상 이야기. 유투브 내용을 코믹북으로 만든 거라서 그런지 별 거부감없이 재미있게 읽고 있습니다.
아이가 8권까지 기다리고 있어요. 언제 나오나요?  "
9791164137527,"요즘 어린이들에게 인기가 많은 '흔한 남매' 시리즈를 최근에야 읽어보게 됐네요. 중학교 2학년, 초등학교 5학년인 두 딸이 집에 있는 시간이 갈수록 길어져 최근에 도서관에서 <흔한 남매> 1~4권을 빌려다 줬습니다. 애들이 재미있어 하고 여러번 읽는 걸 보니 매력이 있는 시리즈인듯 합니다. 찾아보니 인기가 많아서인지 원래 시리즈 말고도 많은 시리즈(안 흔한 일기, 별난 방탕출 등)가 출간 되어 있네요. 이번 책은 원조 시리즈 최신간입니다. 역시나 재밌게 읽기는 하는데 두 번 볼 책은 아니라 아쉽네요. "
9791164137527,"흔한남매 시리즈 7권이 나왔네요. 저도 몰랐던 걸 아이들은 대체 어떻게 알고 ""7권 나왔으니 책 사주세요!""하는 걸까요?^^

배송도 엄청 빨랐고 책에 부록(?), 광고(?)같은 것도 들어있어서 아이가 재미있게 읽었어요. 순식간에 다 읽네요ㅋ

흔한남매 책은 이것 외에도 흔한 호기심이랑 아는일기 시리즈도 아이들이 재미있어했어요~~
저도 가끔 보면 재밌습니다ㅋ"
9791164137527,아이들이 저학년인데도 너무 재미있게 보고 있어요^^ 보고 또 보고 사간날때마다 들여다 보는 책이 되었네요~~ 책 안좋아했는데 아 책을 통해 다른 책도 보게 되었어요~ 흔한 남매 책 계속 볼거 같아요~~~~~~~~~~~~~~~~~~~~~~~~~~~~! 가격이 아깝지 않네요~ ~~~~~~~~~~~~~~~~ㅡ앞으로 나오는 시리즈도 기대가 되네요
