ISBN13,TITLE,AUTHOR,PUBLISHER,PRICE,CATEGORY,RANK
9791167370280,완전한 행복,정유정 (지은이),은행나무,15800,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9
9791191056556,미드나잇 라이브러리,"매트 헤이그 (지은이), 노진선 (옮긴이)",인플루엔셜(주),15800,국내도서>소설/시/희곡>영미소설,9
9791165341909,달러구트 꿈 백화점 (50만 부 기념 드림 에디션) - 주문하신 꿈은 매진입니다,이미예 (지은이),팩토리나인,13800,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,8
9791167140050,"당신에게 시가 있다면 당신은 혼자가 아닙니다 - 소월에서 박준까지, 우울한 시인과 유쾌한 검사가 고른 우리나라 극강의 서정시","류근, 진혜원 (엮은이)",해냄,14000,국내도서>소설/시/희곡>시>한국시,10
9788954679947,낮술,"하라다 히카 (지은이), 김영주 (옮긴이)",문학동네,14500,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,10
9788954678407,2021 제12회 젊은작가상 수상작품집,"전하영, 김멜라, 김지연, 김혜진, 박서련, 서이제, 한정현 (지은이)",문학동네,5500,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,7
9788926718803,인소의 법칙 16 (한정판),"유한려 (지은이), 솔 (그림)",(주)디앤씨미디어-잇북(It book),18500,국내도서>소설/시/희곡>로맨스소설>한국 로맨스소설,10
9791191193138,밤에 찾아오는 구원자,천선란 (지은이),안전가옥,13000,국내도서>소설/시/희곡>추리/미스터리소설>한국 추리/미스터리소설,10
9791130637617,불안한 사람들,"프레드릭 배크만 (지은이), 이은선 (옮긴이)",다산책방,15800,국내도서>소설/시/희곡>세계의 소설>북유럽소설,10
9788932921037,문명 1,"베르나르 베르베르 (지은이), 전미연 (옮긴이)",열린책들,14800,국내도서>소설/시/희곡>프랑스소설,9
9788937472060,우리가 쓴 것,조남주 (지은이),민음사,14000,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9
9788932921044,문명 2,"베르나르 베르베르 (지은이), 전미연 (옮긴이)",열린책들,14800,국내도서>소설/시/희곡>프랑스소설,10
9791197063275,고구려 7 - 동백과 한란,김진명 (지은이),이타북스,15800,국내도서>소설/시/희곡>역사소설>한국 역사소설,6
9791166119651,던전에서 만남을 추구하면 안 되는 걸까 17 - S Novel,"오모리 후지노 (지은이), 야스다 스즈히토 (그림), 김민재 (옮긴이)",㈜소미미디어,9000,국내도서>소설/시/희곡>라이트 노벨>S 노벨,10
